title,description
Programmer Analyst III,Beam Radiation of Right Breast using Neutrons
Web Developer IV,"Bypass Ascending Colon to Rectum with Synth Sub, Endo"
Technical Writer,"Revision of Synth Sub in Cervcal Vertebra, Open Approach"
Environmental Specialist,"Supplement L Extraoc Muscle with Nonaut Sub, Perc Approach"
Analog Circuit Design manager,"Dilate of Sup Vena Cava with Drug-elut Intra, Open Approach"
Safety Technician II,"Supplement Left Nipple with Nonaut Sub, Open Approach"
Product Engineer,"Repair Accessory Nerve, Percutaneous Endoscopic Approach"
Nurse,"Supplement Int Mamm, L Lymph with Autol Sub, Open Approach"
Marketing Assistant,"Obstetrics, Pregnancy, Inspection"
Project Manager,"Supplement Left Thumb with Autol Sub, Open Approach"
Human Resources Manager,"Dilate R Int Mamm Art w 4 Drug-elut, Perc Endo"
Software Test Engineer I,"Drainage of Bladder Neck, Perc Endo Approach, Diagn"
Tax Accountant,"Dilation of Right Lesser Saphenous Vein, Open Approach"
Mechanical Systems Engineer,"Reposition Trachea, Open Approach"
Geological Engineer,"Release Right Hepatic Duct, Percutaneous Endoscopic Approach"
Recruiting Manager,"Revision of Intraluminal Device in Nose, Perc Approach"
Research Assistant III,"Removal of Drain Dev from Pituitary Gland, Extern Approach"
VP Product Management,"Dilate R Peroneal Art w Intralum Dev, Perc Endo"
Automation Specialist II,"Drainage of Left Shoulder Region, Open Approach, Diagnostic"
Quality Control Specialist,"Occlusion L Temporal Art w Extralum Dev, Perc Endo"
Senior Sales Associate,"Destruction of L Wrist Bursa/Lig, Perc Endo Approach"
Quality Engineer,"Replacement of Epiglottis with Synthetic Substitute, Endo"
Design Engineer,"Extirpate matter from Face Art, Bifurc, Perc Endo"
Computer Systems Analyst II,"Monitoring of Cardiac Sound, Percutaneous Approach"
Research Assistant IV,"Introduce of Oth Therap Subst into Fem Reprod, Via Opening"
Web Developer II,"Supplement Ileocecal Valve w Autol Sub, Perc Endo"
Administrative Assistant IV,Aphasia Treatment using Augment Comm Equipment
Dental Hygienist,"Extirpation of Matter from Thor Vertebra, Perc Endo Approach"
Senior Quality Engineer,"Revision of Autol Sub in L Toe Phalanx, Perc Endo Approach"
Human Resources Manager,Exercise Treatment of Circ Body using Assist Equipment
Computer Systems Analyst I,"Destruction of Right Ethmoid Sinus, Open Approach"
Quality Control Specialist,"Extirpate matter from L Com Carotid, Bifurc, Perc Endo"
Human Resources Manager,"Revision of Nonaut Sub in R Toe Phalanx Jt, Extern Approach"
Chief Design Engineer,"Alteration of R Up Eyelid with Nonaut Sub, Open Approach"
Research Associate,"Occlusion of Left Kidney Pelvis with Intralum Dev, Endo"
Social Worker,"Dilation of L Foot Art with Drug-elut Intra, Perc Approach"
Account Executive,"Remove Infusion Dev from L Metatarsotars Jt, Perc"
Junior Executive,"Removal of Drain Dev from Male Perineum, Extern Approach"
Design Engineer,"Supplement L Humeral Shaft w Synth Sub, Perc Endo"
Analyst Programmer,"Introduce of Oth Diagn Subst into Pleural Cav, Perc Approach"
Actuary,"Dilation of Left Posterior Tibial Artery, Perc Approach"
Analog Circuit Design manager,"Dilate R Int Carotid, Bifurc, w 2 Intralum Dev, Perc"
Mechanical Systems Engineer,"Drainage of Right Sphenoid Bone, Perc Endo Approach, Diagn"
Librarian,"Dilation of R Fem Art using Drug Blln, Perc Endo Approach"
Technical Writer,"Excision of Nasal Bone, Perc Endo Approach, Diagn"
Geological Engineer,"Repair Left Sacroiliac Joint, External Approach"
Sales Representative,"Drainage of Sacrum, Percutaneous Approach, Diagnostic"
Electrical Engineer,"Dilate 4+ Cor Art, Bifurc, w Intralum Dev, Perc"
VP Product Management,"Excision of Right Seminal Vesicle, Open Approach"
Chemical Engineer,"Bypass Accessory Pancreatic Duct to Lg Int, Open Approach"
Computer Systems Analyst IV,"Drainage of Left Femoral Shaft, Open Approach"
Administrative Assistant II,Beam Radiation of Kidney using Neutron Capture
VP Accounting,"Repair Left Lower Lobe Bronchus, Perc Endo Approach"
Human Resources Assistant II,"Dilation of L Post Tib Art, Bifurc, Open Approach"
Project Manager,"Repair Left Greater Saphenous Vein, Percutaneous Approach"
Staff Scientist,Planar Nucl Med Imag of Chest & Abd using Technetium 99m
Chief Design Engineer,"Remove Synth Sub from L Toe Phalanx Jt, Perc Endo"
Human Resources Manager,LDR Brachytherapy of Tongue using Palladium 103
Chemical Engineer,"Resection of Right Finger Phalanx, Open Approach"
Operator,"Removal of Autol Sub from L Sternoclav Jt, Open Approach"
Computer Systems Analyst III,"Remove Drain Dev from Low Extrem Subcu/Fascia, Extern"
Computer Systems Analyst II,"Dilate L Temporal Art, Bifurc, w Drug-elut Intra, Open"
Automation Specialist III,"Excision of Left Ethmoid Bone, Perc Endo Approach, Diagn"
Design Engineer,"Transfer Oculomotor Nrv to Trochlear Nrv, Perc Endo Approach"
Staff Accountant IV,"Bypass Portal Vein to Low Vein w Nonaut Sub, Perc Endo"
Nuclear Power Engineer,"Insertion of Infusion Device into R Low Leg, Open Approach"
VP Quality Control,"Repair Right Vocal Cord, Percutaneous Approach"
Systems Administrator I,"Restrict L Great Saphenous w Extralum Dev, Perc"
Financial Analyst,"Supplement L Knee Bursa/Lig w Autol Sub, Perc Endo"
Accountant III,"Repair Right Subclavian Vein, Percutaneous Approach"
Administrative Assistant I,"Replace of Cervcal Vertebra with Synth Sub, Open Approach"
Business Systems Development Analyst,Acoust Reflex Decay Assess w Acoust Immit/Reflex Equip
Data Coordiator,"Insert of Int Fix into L Toe Phalanx Jt, Perc Endo Approach"
Actuary,"Dilation of L Com Iliac Art with 3 Drug-elut, Open Approach"
Administrative Assistant I,"Fusion of Occip Jt, Ant Appr A Col, Open Approach"
Assistant Professor,"Destruction of L Up Arm Subcu/Fascia, Perc Approach"
Statistician I,"Bypass L Subclav Art to Bi Low Arm Art w Nonaut Sub, Open"
GIS Technical Architect,"Revision of Ext Fix in R Metacarpal, Extern Approach"
Executive Secretary,"Dilate R Colic Art, Bifurc, w Drug-elut Intra, Open"
Recruiter,"Reposition Left Acetabulum, Percutaneous Endoscopic Approach"
Senior Editor,"Bypass L Ext Iliac Art to R Femor A, Perc Endo Approach"
Programmer Analyst IV,"Reposition Right Ulna with Int Fix, Open Approach"
Librarian,"Dilate L Popl Art w Drug-elut Intra, Drug Blln, Perc"
VP Sales,"Revision of Ext Fix in R Patella, Perc Endo Approach"
Geologist I,Ultrasonography of Bilateral Renal Veins
